temperature_keV,p_n15_reactivity_m3_s,p_n15_gamma_o16_reactivity_m3_s,p_n15_gamma_to_alpha_branch_ratio,dt_reactivity_m3_s,dd_total_reactivity_m3_s,dd_n_branch_reactivity_m3_s,dd_t_branch_reactivity_m3_s,p_n15_deposited_heating_coefficient_w_m3,dt_local_alpha_heating_coefficient_w_m3,dt_total_energy_coefficient_w_m3,dd_local_charged_heating_coefficient_w_m3,dd_total_energy_coefficient_w_m3
5.0,1.558512868554218e-34,6.246273712967498e-38,0.0004007842244358216,1.3349899230231355e-23,1.7832487928883248e-25,9.011826365032399e-26,8.82066156385085e-26,1.2400166070268687e-46,7.528891607751804e-36,3.76209302524848e-35,6.88143094242229e-38,1.0418872662193706e-37
5.150209795286249,2.2783497107190457e-34,9.078686390822043e-38,0.0003984764212495199,1.4808758072350458e-23,1.953880047945909e-25,9.879845514951724e-26,9.658954964507365e-26,1.8127482518173354e-46,8.351638649051733e-36,4.1732094374480373e-35,7.536941188125796e-38,1.1415109307864208e-37
5.3049321870924855,3.320645853414135e-34,1.3147427365769917e-37,0.00039592982648999856,1.640709473218998e-23,2.1386962315640063e-25,1.0820691176856956e-25,1.0566271138783105e-25,2.642041709997719e-46,9.253046461732225e-36,4.62363165384682e-35,8.246602281788737e-38,1.249408363077483e-37
5.464302742658604,4.825725399309064e-34,1.8971048903723237e-37,0.00039312325783061477,1.815583825356264e-23,2.338677582341435e-25,1.1839465748711214e-25,1.1547310074703134e-25,3.8395445792152825e-46,1.0239278656830583e-35,5.116439553835032e-35,9.014120347543148e-38,1.3661504616042111e-37
5.62846110192997,6.993310594549962e-34,2.72766830631652e-37,0.00039003963422449026,2.0066494832385487e-23,2.554855815372059e-25,1.2941546084035553e-25,1.260701206968504e-25,5.564164050428064e-46,1.131682433964888e-35,5.6548756622183e-35,9.843392783412836e-38,1.4923380255613448e-37
5.797551099909474,1.0106965594262865e-33,3.9080318313539244e-37,0.00038666717472277595,2.2151145760773398e-23,2.7883156813548e-25,1.4132592351263334e-25,1.375056446228467e-25,8.041515367891328e-46,1.249249695029223e-35,6.24234456984915e-35,1.0738513773084124e-37,1.6286026537629226e-37
5.9717208926852665,1.4568277344557676e-33,5.57965614330184e-37,0.00038300040638547094,2.442244067112541e-23,3.0401965038130693e-25,1.5418556818828723e-25,1.4983408219301967e-25,1.1591117537440061e-45,1.3773430453562e-35,6.882411029764261e-35,1.1703779694480413e-37,1.775607630343696e-37
6.15112308724464,2.0944492380076805e-33,7.938818837244414e-37,0.00037904088068499187,2.68935855479815e-23,3.3116936901374215e-25,1.680569254345927e-25,1.6311244357914948e-25,1.6664295111747062e-45,1.5167072578048528e-35,7.578796578843624e-35,1.274369440904802e-37,1.9340487947321044e-37
6.335914875187748,3.003467121837764e-33,1.1256920140506747e-36,0.0003747975151337383,2.9578324962422734e-23,3.6040602121525878e-25,1.8300561938896284e-25,1.7740040182629596e-25,2.389681333329623e-45,1.668117479693373e-35,8.335374531342821e-35,1.3862974415705815e-37,2.1046553933960312e-37
6.526258170458357,4.296121773475269e-33,1.5907959181742176e-36,0.0003702865053770048,3.2490917975686345e-23,3.918608051918055e-25,1.9910045202123507e-25,1.9276035317057044e-25,3.418170265004604e-45,1.8323778738445046e-35,9.156163188366757e-35,1.5066553853536878e-37,2.288190910869477e-37
6.722319751212308,6.1296032894368126e-33,2.2405587304053394e-36,0.0003655307896134991,3.564610715627024e-23,4.256709608497103e-25,2.1641348574125564e-25,2.0925747510845465e-25,4.876963178648115e-45,2.0103198712550403e-35,1.004531710667753e-34,1.6359589337496747e-37,2.4854538775856482e-37
6.92427140594797,8.723371950119034e-33,3.1452910286876104e-36,0.0003605590873199774,3.905908015894833e-23,4.619799061475347e-25,2.3502012412244265e-25,2.2695978202509202e-25,6.940671652878082e-45,2.202800004282241e-35,1.1007116271397822e-34,1.774746461168731e-37,2.6972786520711867e-37
7.132290084026743,1.2382847840548628e-32,4.4009207437223376e-36,0.0003554045725500373,4.274542332569004e-23,5.009373687074202e-25,2.5499919051336573e-25,2.459381781940545e-25,9.852300404045672e-45,2.4106972898926424e-35,1.2045953020432297e-34,1.92357950050911e-37,2.924536175096211e-37
