target_radius_m,external_n15_fraction,event,input_mev_per_initial_unit,input_mev_per_completion,cold_work_to_trigger_mev_per_initial_unit,remaining_kinetic_margin_mev_per_initial_unit,trigger_energy_mev_per_initial_unit,trigger_compression_ratio,maximum_compression_ratio,stagnation_radius_m,stagnation_temperature_keV,completion_at_stagnation,completion_after_half_density_expansion,mixed_n15_burn_after_expansion,extent_n15_p_a_c12,extent_c12_p_g_n13,extent_c13_a_n_o16,extent_o16_p_g_f17,extent_o17_p_a_n14,extent_n14_p_g_o15,energy_residual_fraction,initial_mass_amu_per_unit
350.0,0.85,oven-1-c12-to-n13,0.24809409755861345,0.3214664823460397,0.10044299625363186,0.05,0.09765110130498157,100000.0,141155.30881298918,6.722058776132517,13.521412843783368,3.4996231778593785e-06,0.7717572785443765,1.000000004122279,0.15000000061834187,0.7717572785443765,0.0,0.0,0.0,0.0,-9.043870667790276e-07,13.6
350.0,0.85,oven-2-c13-to-f17,2.0456245984136903,3.5773234520258947,0.5222689957034143,0.2,1.323355602710276,1000000.0,1118255.1841835685,3.3720013328036718,206.77041601843374,0.2580591864176303,0.5718310423552058,0.0,0.0,0.0,0.999369715550598,0.5718310423552058,0.0,0.0,2.503426894741751e-07,18.0
350.0,0.85,oven-3-o17-to-o15,0.9401069833975733,1.6951749951909176,0.27810284048159684,0.2,0.46200414291597636,300000.0,397878.481526415,4.758658731950088,150.38993197784882,0.19949867698608306,0.5545781326792721,0.0,0.0,0.0,0.0,0.0,1.00000000000054,0.5545781326792721,-1.0191137643002056e-05,19.0
350.0,0.9,oven-1-c12-to-n13,0.339808029503666,0.41168590389952614,0.0991335254572818,0.01,0.23067450404638423,100000.0,102340.81399271685,7.482586660523991,63.67082128407185,0.08398205028870093,0.8254060347584738,1.0000000033585283,0.10000000033585281,0.8254060347584738,0.0,0.0,0.0,0.0,5.64799110387775e-07,13.4
350.0,0.9,oven-2-c13-to-f17,2.0456245984136903,3.5773234520258947,0.5222689957034143,0.2,1.323355602710276,1000000.0,1118255.1841835685,3.3720013328036718,206.77041601843374,0.2580591864176303,0.5718310423552058,0.0,0.0,0.0,0.999369715550598,0.5718310423552058,0.0,0.0,2.503426894741751e-07,18.0
350.0,0.9,oven-3-o17-to-o15,0.9401069833975733,1.6951749951909176,0.27810284048159684,0.2,0.46200414291597636,300000.0,397878.481526415,4.758658731950088,150.38993197784882,0.19949867698608306,0.5545781326792721,0.0,0.0,0.0,0.0,0.0,1.00000000000054,0.5545781326792721,-1.0191137643002056e-05,19.0
350.0,0.95,oven-1-c12-to-n13,0.39217908858899686,0.4468549515412308,0.09782416975778435,0.2,0.09435491883121247,100000.0,267474.9169705556,5.432174225310655,46.17891483715164,0.056475027453333514,0.8776429291794722,1.0000000002931884,0.050000000014659464,0.8776429291794722,0.0,0.0,0.0,0.0,-1.1340621369191196e-06,13.2
350.0,0.95,oven-2-c13-to-f17,2.0456245984136903,3.5773234520258947,0.5222689957034143,0.2,1.323355602710276,1000000.0,1118255.1841835685,3.3720013328036718,206.77041601843374,0.2580591864176303,0.5718310423552058,0.0,0.0,0.0,0.999369715550598,0.5718310423552058,0.0,0.0,2.503426894741751e-07,18.0
350.0,0.95,oven-3-o17-to-o15,0.9401069833975733,1.6951749951909176,0.27810284048159684,0.2,0.46200414291597636,300000.0,397878.481526415,4.758658731950088,150.38993197784882,0.19949867698608306,0.5545781326792721,0.0,0.0,0.0,0.0,0.0,1.00000000000054,0.5545781326792721,-1.0191137643002056e-05,19.0
350.0,0.98,oven-1-c12-to-n13,0.521574070492706,0.6290020058246327,0.09703861378497386,0.2,0.22453545670773212,100000.0,188500.30284118847,6.104227254218247,46.983711317823236,0.060705279236116655,0.8292089145390136,1.0000001238126452,0.020000002476252922,0.8292089145390136,0.0,0.0,0.0,0.0,3.7087763363396333e-07,13.08
350.0,0.98,oven-2-c13-to-f17,2.0456245984136903,3.5773234520258947,0.5222689957034143,0.2,1.323355602710276,1000000.0,1118255.1841835685,3.3720013328036718,206.77041601843374,0.2580591864176303,0.5718310423552058,0.0,0.0,0.0,0.999369715550598,0.5718310423552058,0.0,0.0,2.503426894741751e-07,18.0
